City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
185,Fortuna,40.5982,-124.1573,53.65,few clouds,94,20,13.8,US
186,Mount Isa,-20.7333,139.5,60.57,clear sky,41,0,5.75,AU
187,Davidson,36.1501,-86.7833,60.12,overcast clouds,84,100,10.36,US
188,Avarua,-21.2078,-159.775,77.05,scattered clouds,88,40,0.0,CK
189,Saskylakh,71.9167,114.0833,3.94,scattered clouds,95,46,8.97,RU
190,Bubaque,11.2833,-15.8333,77.9,clear sky,76,4,15.82,GW
191,Lompoc,34.6391,-120.4579,71.85,clear sky,69,0,24.16,US
192,Homer,59.6425,-151.5483,50.77,broken clouds,81,53,4.0,US
193,Analipsis,35.3167,25.5667,64.54,clear sky,78,5,3.06,GR
194,Maunabo,18.0072,-65.8993,89.65,clear sky,76,10,8.34,PR
195,Novoagansk,61.9449,76.6625,8.94,scattered clouds,93,38,6.62,RU
196,Saint-Augustin,51.226,-58.6502,40.06,overcast clouds,48,99,16.93,CA
197,Upernavik,72.7868,-56.1549,19.6,clear sky,69,4,6.62,GL
198,Gushikawa,26.3544,127.8686,76.23,mist,94,100,10.36,JP
199,Stawell,-37.05,142.7667,43.14,clear sky,92,3,1.03,AU
200,Barsovo,61.1667,73.1667,24.93,broken clouds,93,54,6.2,RU
201,Tessalit,20.1986,1.0114,94.95,few clouds,9,20,15.93,ML
202,Aswan,24.0934,32.907,84.99,clear sky,9,2,10.94,EG
203,Anadyr,64.75,177.4833,28.0,overcast clouds,86,96,6.91,RU
204,Evensk,61.95,159.2333,30.49,snow,98,100,20.0,RU
205,Chokurdakh,70.6333,147.9167,14.68,overcast clouds,95,99,11.3,RU
206,Bereda,43.2686,-7.5406,68.41,overcast clouds,64,86,6.11,ES
207,Ngunguru,-35.6167,174.5,56.7,broken clouds,83,74,3.89,NZ
208,San Jeronimo,-11.9472,-75.2829,62.4,broken clouds,42,53,2.82,PE
209,Esperance,-33.8667,121.9,57.54,broken clouds,48,78,16.46,AU
210,Nome,64.5011,-165.4064,32.16,overcast clouds,86,100,20.71,US
211,Samarai,-10.6167,150.6667,82.49,overcast clouds,80,89,12.1,PG
212,Los Llanos De Aridane,28.6585,-17.9182,67.75,few clouds,68,20,11.5,ES
213,Half Moon Bay,37.4636,-122.4286,66.87,mist,68,100,24.16,US
214,Madimba,-10.4,40.3333,76.68,broken clouds,87,68,9.84,TZ
215,Souillac,-20.5167,57.5167,75.58,scattered clouds,88,40,9.22,MU
216,Ballina,-28.8667,153.5667,63.01,light rain,99,100,11.3,AU
217,Dalvik,65.9702,-18.5286,42.48,overcast clouds,67,100,3.78,IS
218,Prainha,-1.8,-53.48,84.29,broken clouds,73,71,4.14,BR
219,Imbituba,-28.24,-48.6703,71.85,scattered clouds,55,40,3.91,BR
220,Marawi,7.9986,124.2928,70.36,overcast clouds,91,86,2.13,PH
221,Guaymas,27.9333,-110.9,89.89,clear sky,38,0,11.25,MX
222,Ust-Tsilma,65.441,52.1498,39.25,broken clouds,95,63,6.13,RU
223,Nakhon Phanom,17.3333,104.4167,77.2,moderate rain,81,94,3.62,TH
224,Northam,51.0333,-4.2167,61.61,broken clouds,73,67,5.66,GB
225,Koumac,-20.5667,164.2833,72.03,scattered clouds,76,36,4.09,NC
226,Tura,25.5198,90.2201,74.26,clear sky,73,3,3.69,IN
227,Pokosnoye,55.5258,101.0536,48.76,overcast clouds,49,100,11.95,RU
228,Libertador General San Martin,-23.8064,-64.7876,80.98,clear sky,43,1,4.65,AR
229,Saint-Francois,46.4154,3.9054,64.67,broken clouds,55,72,8.05,FR
230,Gopalpur,19.2667,84.9167,80.85,few clouds,85,11,5.19,IN
231,Kasongo-Lunda,-6.4667,16.8167,76.51,overcast clouds,78,100,1.28,CD
232,Naze,28.3667,129.4833,69.15,broken clouds,84,76,5.1,JP
233,Lavrentiya,65.5833,-171.0,22.73,broken clouds,99,82,4.9,RU
234,Miles City,46.4083,-105.8406,68.97,clear sky,40,0,27.63,US
235,Rongcheng,30.634,117.8517,64.31,broken clouds,95,83,5.41,CN
236,Nhulunbuy,-12.2333,136.7667,81.21,overcast clouds,78,100,10.36,AU
237,Klaksvik,62.2266,-6.589,47.32,overcast clouds,67,99,3.87,FO
238,Najran,17.4924,44.1277,84.76,scattered clouds,29,49,4.59,SA
239,Aklavik,68.2191,-135.0107,32.04,overcast clouds,87,97,8.48,CA
240,Tayum,17.6172,120.6542,77.45,broken clouds,81,84,3.42,PH
241,The Valley,18.217,-63.0578,81.82,clear sky,69,3,11.63,AI
242,Leh,34.1667,77.5833,48.79,broken clouds,43,84,5.95,IN
243,Samdari,25.8167,72.5833,92.5,clear sky,24,0,12.48,IN
244,Namibe,-15.1961,12.1522,73.15,scattered clouds,71,37,6.69,AO
245,Takoradi,4.8845,-1.7554,81.81,overcast clouds,77,92,6.4,GH
246,Chapais,49.7834,-74.8492,46.83,scattered clouds,40,28,4.34,CA
247,Malindi,-3.2175,40.1191,80.19,broken clouds,84,70,16.78,KE
248,Brae,60.3964,-1.353,46.08,scattered clouds,59,44,9.22,GB
249,Sao Joao Da Barra,-21.6403,-41.0511,80.69,clear sky,61,4,17.4,BR
250,Sorland,67.667,12.6934,37.78,overcast clouds,59,100,25.99,NO
251,Korla,41.7597,86.1469,77.23,broken clouds,29,70,4.76,CN
252,Avera,33.194,-82.5271,71.11,broken clouds,53,60,13.67,US
253,Zaysan,47.4667,84.8667,59.05,scattered clouds,52,39,7.54,KZ
254,Dunedin,-45.8742,170.5036,61.81,light rain,57,100,3.67,NZ
255,Redwater,33.3582,-94.2544,81.21,clear sky,70,0,5.86,US
256,Olafsvik,64.8945,-23.7142,43.83,overcast clouds,84,100,16.93,IS
257,Iskateley,67.6803,53.1512,36.99,overcast clouds,100,100,12.88,RU
258,Jawhar,2.7809,45.5005,81.52,overcast clouds,74,93,15.32,SO
259,Sur,22.5667,59.5289,86.09,clear sky,61,0,11.72,OM
260,Dickinson,29.4608,-95.0513,92.08,broken clouds,72,75,9.22,US
261,Christchurch,-43.5333,172.6333,52.95,broken clouds,85,80,3.44,NZ
262,Hesperia,34.4264,-117.3009,82.06,few clouds,38,22,11.01,US
263,Kisangani,0.5167,25.2,73.56,broken clouds,82,70,3.15,CD
264,Nikolskoye,59.7035,30.7861,53.71,scattered clouds,82,30,4.36,RU
265,Umuarama,-23.7664,-53.325,73.2,scattered clouds,57,44,3.02,BR
266,Taoudenni,22.6783,-3.9836,97.66,clear sky,8,3,10.78,ML
267,Stornoway,58.2093,-6.3865,53.92,clear sky,65,0,6.91,GB
268,Kurilsk,45.2333,147.8833,45.99,moderate rain,95,95,19.44,RU
269,Sitarganj,28.9333,79.7,84.2,few clouds,20,13,4.59,IN
270,Sabang,5.8933,95.3214,82.15,overcast clouds,75,98,14.9,ID
271,Jimenez,28.3333,-105.4,91.78,clear sky,7,1,2.55,MX
272,Miranpur,29.3,77.9333,89.49,clear sky,16,0,3.62,IN
273,Palmer,42.1584,-72.3287,54.91,broken clouds,43,75,18.41,US
274,Vila Franca Do Campo,37.7167,-25.4333,66.61,light rain,90,90,1.88,PT
275,Kabalo,-6.05,26.9167,77.76,overcast clouds,70,95,4.23,CD
276,Husavik,66.0449,-17.3389,42.15,overcast clouds,72,100,3.65,IS
277,Westport,41.1415,-73.3579,55.72,light rain,61,100,21.85,US
278,Makushino,55.2103,67.2442,44.38,clear sky,37,4,8.93,RU
279,Vila Velha,-20.3297,-40.2925,78.75,clear sky,65,0,16.11,BR
280,Tsabong,-26.0217,22.401,64.99,scattered clouds,39,47,21.83,BW
281,Bandarbeyla,9.4942,50.8122,82.67,few clouds,86,11,12.12,SO
282,Umm Lajj,25.0213,37.2685,77.63,clear sky,53,0,14.38,SA
283,Salinas,36.6777,-121.6555,68.99,scattered clouds,63,40,13.8,US
284,Batagay-Alyta,67.8006,130.4114,7.41,overcast clouds,95,99,3.87,RU
285,Broome,42.2506,-75.833,56.17,clear sky,38,0,11.5,US
286,Waldoboro,44.0954,-69.3756,57.56,overcast clouds,30,97,9.69,US
287,Hualmay,-11.0964,-77.6139,70.99,few clouds,73,15,13.04,PE
288,Huarmey,-10.0681,-78.1522,71.33,few clouds,76,22,12.41,PE
289,Vao,-22.6667,167.4833,74.35,scattered clouds,61,44,20.24,NC
290,Yumen,40.2833,97.2,54.25,broken clouds,24,78,8.03,CN
291,Gorontalo,0.5412,123.0595,75.85,overcast clouds,95,90,2.71,ID
292,Ostrovnoy,68.0531,39.5131,40.55,light rain,99,100,18.48,RU
293,Roald,62.5833,6.1333,43.32,few clouds,61,20,19.57,NO
294,Mayumba,-3.432,10.6554,78.33,overcast clouds,85,97,2.66,GA
295,Tenenkou,14.4572,-4.9169,106.25,overcast clouds,11,93,9.24,ML
296,Broken Hill,-31.95,141.4333,49.86,clear sky,61,0,7.45,AU
297,Port-Gentil,-0.7193,8.7815,80.56,few clouds,83,20,2.3,GA
298,Menongue,-14.6585,17.691,69.87,broken clouds,46,57,1.63,AO
299,Thunder Bay,48.4001,-89.3168,51.71,scattered clouds,57,41,7.52,CA
300,Anloga,5.7947,0.8973,82.36,overcast clouds,79,88,9.95,GH
301,Ilulissat,69.2167,-51.1,26.62,clear sky,68,0,5.75,GL
302,Panguna,-6.3164,155.4848,68.34,overcast clouds,96,97,2.3,PG
303,Valparaiso,-33.0393,-71.6273,55.04,fog,100,100,5.75,CL
304,Mirnyy,62.5353,113.9611,38.62,broken clouds,87,78,10.89,RU
305,Clyde River,70.4692,-68.5914,27.1,overcast clouds,66,100,3.02,CA
306,Svecha,58.2785,47.5164,47.08,scattered clouds,67,39,9.57,RU
307,Arman,59.7,150.1667,32.02,overcast clouds,99,100,7.0,RU
308,Antanifotsy,-19.65,47.3167,58.39,light rain,98,56,2.66,MG
309,Roros,62.5747,11.3842,33.64,broken clouds,55,75,13.8,NO
310,Cockburn Town,21.4612,-71.1419,82.36,scattered clouds,65,40,13.8,TC
311,Lagoa,39.05,-27.9833,60.91,scattered clouds,65,50,5.75,PT
312,Caravelas,-17.7125,-39.2481,76.42,scattered clouds,86,42,13.18,BR
313,Manzhouli,49.6,117.4333,43.92,few clouds,39,15,7.29,CN
314,Guanica,17.9716,-66.908,90.28,clear sky,69,1,5.01,PR
315,Ampanihy,-24.7,44.75,71.02,scattered clouds,84,38,3.49,MG
316,Natal,-5.795,-35.2094,83.05,moderate rain,78,75,5.75,BR
317,Dali,25.7,100.1833,62.78,broken clouds,69,82,4.61,CN
318,Victoria,22.2855,114.1577,77.38,overcast clouds,78,100,5.01,HK
319,Marzuq,14.4,46.4667,77.79,scattered clouds,39,42,6.06,YE
320,Grand-Lahou,5.1367,-5.0242,82.81,overcast clouds,76,100,9.71,CI
321,Itarema,-2.9248,-39.9167,82.44,overcast clouds,77,85,12.12,BR
322,Pachino,36.7186,15.0907,60.46,broken clouds,81,53,10.6,IT
323,Kholodnyy,62.7167,147.95,25.75,snow,97,100,1.21,RU
324,Kruisfontein,-34.0033,24.7314,56.88,light rain,83,100,9.08,ZA
325,Southampton,50.904,-1.4043,64.89,overcast clouds,55,91,10.02,GB
326,Otjimbingwe,-22.35,16.1333,64.4,clear sky,33,0,6.98,NA
327,Shebunino,46.4339,141.8603,43.07,overcast clouds,98,100,17.69,RU
328,Sweetwater,25.7634,-80.3731,95.02,broken clouds,50,75,23.02,US
329,Gizo,-8.103,156.8419,82.76,overcast clouds,77,86,7.4,SB
330,Maniitsoq,65.4167,-52.9,32.59,few clouds,72,22,10.54,GL
331,Dutlwe,-23.9833,23.9,70.23,broken clouds,26,53,6.55,BW
332,Puga,21.5833,-104.8167,89.67,clear sky,30,0,6.91,MX
333,Talara,-4.5772,-81.2719,81.36,clear sky,54,0,20.71,PE
334,Chuy,-33.6971,-53.4616,70.3,clear sky,55,0,3.53,UY
335,Lubango,-14.9172,13.4925,61.56,few clouds,46,18,5.14,AO
336,Shediac,46.2198,-64.5411,41.56,broken clouds,51,63,9.33,CA
337,Brindisi,40.5833,17.6667,66.56,broken clouds,73,80,11.12,IT
338,Caibarien,22.5206,-79.4669,90.72,scattered clouds,45,42,3.6,CU
339,Long Xuyen,10.3833,105.4167,78.75,light rain,86,100,6.51,VN
340,Lebu,-37.6167,-73.65,58.5,few clouds,72,13,9.91,CL
341,Zabid,14.1951,43.3152,84.97,overcast clouds,65,97,8.59,YE
342,Karachi,24.9056,67.0822,82.22,scattered clouds,74,40,11.5,PK
343,Ojinaga,29.5667,-104.4167,97.57,clear sky,13,0,8.05,MX
344,Finschhafen,-6.6024,147.8681,80.38,scattered clouds,78,45,8.7,PG
345,Severo-Kurilsk,50.6789,156.125,38.39,broken clouds,90,67,1.21,RU
346,Moyale,3.5167,39.0584,67.46,overcast clouds,82,100,5.73,KE
347,Gourcy,13.2167,-2.35,102.58,overcast clouds,12,86,9.48,BF
348,Partizansk,43.1258,133.1339,37.22,clear sky,64,3,2.77,RU
