City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Labuhan,ID,79.61,light rain,-6.8844,112.2051,DoubleFAG
383,Teguise,ES,75.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
384,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Alize Plage
388,Tahta,EG,82.96,few clouds,26.7693,31.5021,فندق الزيات
392,Dingle,PH,78.85,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
393,Nurota,UZ,79.36,scattered clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
394,General Roca,AR,77.63,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
395,Rapid City,US,82.13,clear sky,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
397,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
398,Pacific Grove,US,66.54,scattered clouds,36.6177,-121.9166,Lovers Point Inn
399,Benguela,AO,77.4,broken clouds,-12.5763,13.4055,Hotel Praia Morena
400,Tirumala,IN,79.21,overcast clouds,13.6833,79.35,Deva Annamayya Restaurant
402,Carutapera,BR,75.13,overcast clouds,-1.195,-46.02,Lidera
404,Mangochi,MW,71.42,few clouds,-14.4782,35.2645,Fort Johnstone Hotel
406,Bac Lieu,VN,82.85,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
407,San Jose,US,66.85,broken clouds,37.3394,-121.895,The Westin San Jose
408,Batticaloa,LK,82.33,overcast clouds,7.7102,81.6924,Grand Star Guest House
410,Tabas,IR,78.15,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
414,Samarinda,ID,74.32,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
416,Fare,PF,80.83,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
417,Morondava,MG,78.08,clear sky,-20.2833,44.2833,La Case Bambou
419,Poitiers,FR,70.21,clear sky,46.5833,0.3333,ibis Poitiers Centre
420,Arequipa,PE,66.27,clear sky,-16.3989,-71.535,Casa de Avila Hotel
421,Vaitape,PF,80.62,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
422,Beyneu,KZ,66.72,broken clouds,45.3167,55.2,NUR
424,Kibala,TD,82.35,clear sky,9.1104,18.3463,hotel safari
425,Richards Bay,ZA,68.32,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
426,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
427,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
428,Maragogi,BR,78.67,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
429,Sampit,ID,75.63,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
430,Mokobeng,BW,71.19,broken clouds,-22.9965,27.6678,Omphile B. Molefhe
440,Kirakira,SB,80.31,scattered clouds,-10.4544,161.9205,SanBiz Lodge
441,Presidencia Roque Saenz Pena,AR,78.75,broken clouds,-26.7852,-60.4388,Hotel Gualok
445,Dzaoudzi,YT,80.49,few clouds,-12.7887,45.2699,Le Rocher
446,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
447,Summerville,US,78.8,broken clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
450,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
451,Tete,MZ,71.69,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
452,Ovar,PT,76.19,overcast clouds,40.8586,-8.6251,Aqua Hotel
454,Awjilah,LY,81.07,overcast clouds,29.1081,21.2869,المنزل
456,Punta Alta,AR,72.93,scattered clouds,-38.8759,-62.0736,Center Hotel Punta Alta
458,Kaliua,TZ,72.72,overcast clouds,-5.0606,31.7936,Millennium Complex
460,Cullman,US,65.79,overcast clouds,34.1748,-86.8436,Best Western Fairwinds Inn
462,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
464,Cubara,CO,73.11,light rain,7.0008,-72.1085,Hotel Los Amigos
467,La Ciotat,FR,69.69,scattered clouds,43.1748,5.6045,ibis La Ciotat
470,Luena,AO,65.44,broken clouds,-11.7833,19.9167,Hotel Kandamba
474,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
475,Poso,ID,79.3,light rain,-1.3959,120.7524,Hotel 77 Poso
476,Tual,ID,84.99,broken clouds,-5.6667,132.75,Grand Vilia Hotel
477,Buala,SB,80.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
478,Kalmunai,LK,83.12,overcast clouds,7.4167,81.8167,VS Villa
480,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
481,Muskegon,US,67.86,clear sky,43.3,-86.1334,Timberline Estates
482,Sassandra,CI,82.85,overcast clouds,4.95,-6.0833,la terrasse
483,Bima,ID,76.71,scattered clouds,-8.4667,118.7167,Lambitu Hotel
484,Kutum,SD,84.42,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
485,Sao Filipe,CV,74.05,scattered clouds,14.8961,-24.4956,Hotel Xaguate
490,Keokuk,US,67.26,clear sky,40.3973,-91.3849,Hampton Inn Keokuk
492,Birjand,IR,70.52,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
495,Madang,PG,78.03,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
499,Upata,VE,84.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
500,Lianzhou,CN,71.15,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
502,Lima,PE,73.65,clear sky,-12.0432,-77.0282,Hotel Kamana
503,Mantua,IT,65.44,overcast clouds,45.1667,10.7833,Hotel la Favorita
505,Norsup,VU,78.94,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
506,Gigmoto,PH,80.06,scattered clouds,13.7796,124.39,Cj's Travellers Inn
508,Lahaina,US,73.81,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
511,Faya,SA,66.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
512,Guarapari,BR,76.78,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
514,Meiganga,CM,69.44,light rain,6.5167,14.3,DFR HOUSE
516,Ende,ID,78.12,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
518,Kawalu,ID,73.15,overcast clouds,-7.3817,108.2082,West Jontor
521,Talisayan,PH,80.51,broken clouds,6.9872,121.9272,Mar y Monte Resort
523,Qui Nhon,VN,77.47,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
525,Changji,CN,70.59,overcast clouds,44.0167,87.3167,Lvye Holiday Resort
528,Mitsamiouli,KM,81.32,broken clouds,-11.3847,43.2844,Foyer ADM
537,San Luis,AR,76.68,clear sky,-33.295,-66.3356,Huarpes Hotel
538,Arawa,PG,77.0,overcast clouds,-6.2132,155.5367,Coastline Guest House
540,Candelaria,PH,81.39,clear sky,13.9311,121.4233,Casa de Provincia
541,Lucea,JM,82.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
548,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
551,Santa Fe,AR,76.01,light rain,-31.6333,-60.7,Conquistador Hotel
552,Yankton,US,71.11,overcast clouds,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
553,Hithadhoo,MV,84.2,broken clouds,-0.6,73.0833,Scoop Guest House
557,Horizontina,BR,69.24,overcast clouds,-27.6258,-54.3078,Hotel Avenida
558,Blora,ID,76.68,broken clouds,-6.9698,111.4186,Hotel Adhi Jaya
561,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
562,Bemidji,US,73.06,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
563,Eyl,SO,83.84,scattered clouds,7.9803,49.8164,Amiin Hotel
565,Kongolo,CD,76.96,light rain,-5.3833,27.0,GUEST HOUSE OASIS
567,Le Port,RE,73.4,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
569,Tarakan,ID,80.56,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
573,Muncar,ID,77.68,scattered clouds,-8.4333,114.3333,Zaky Homestay
574,Libreville,GA,79.02,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
577,Puertollano,ES,74.16,clear sky,38.6871,-4.1073,Hotel Puertollano
578,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
584,Amalapuram,IN,79.81,broken clouds,16.5833,82.0167,swayamprabha service apartments
585,Les Cayes,HT,83.39,scattered clouds,18.2,-73.75,Villa Orphee
592,Harindanga,IN,83.01,scattered clouds,22.0383,88.3214,Hasanur Builders
599,Bull Savanna,JM,82.42,few clouds,17.8868,-77.5902,Big Red's
604,Gillette,US,68.11,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
605,Hukuntsi,BW,65.64,scattered clouds,-24.0,21.75,Entabeni Hotel
607,Cuamba,MZ,73.06,overcast clouds,-14.8031,36.5372,Hotel Vision
608,Kirksville,US,69.91,clear sky,40.1948,-92.5833,Budget Host-Village Inn
613,Belgrade,RS,65.86,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
617,Praia Da Vitoria,PT,67.75,broken clouds,38.7333,-27.0667,Hotel Branco I
618,Pacifica,US,66.22,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
625,Laguna,US,69.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
626,North Augusta,US,74.01,overcast clouds,33.5018,-81.9651,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
628,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
629,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
631,Harper,LR,82.44,overcast clouds,4.375,-7.7169,Screensaver
635,Mackay,AU,73.69,overcast clouds,-21.15,149.2,International Lodge Motel
636,Soe,ID,67.15,broken clouds,-9.8607,124.284,Dena Hotel
637,Stillwater,US,80.87,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
638,Betare Oya,CM,74.35,broken clouds,5.6,14.0833,Auberge Tembina Betaré Oya
639,Muros,ES,74.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
643,Mareeba,AU,72.45,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
648,Tambura,SS,76.12,overcast clouds,5.6,27.4667,Rikito Lodge
649,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
650,Nowy Dwor Mazowiecki,PL,66.11,clear sky,52.4302,20.7165,Hotel Royal Modlin
651,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
660,Ormara,PK,81.36,clear sky,25.2088,64.6357,Kenara Colony house for Rent
665,Toamasina,MG,75.2,broken clouds,-18.1667,49.3833,Hotel H1
666,Saint Anthony,US,72.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
673,Marsa Matruh,EG,66.81,overcast clouds,31.3525,27.2453,Beau Site
678,El Alto,PE,78.46,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
679,Santiago Del Estero,AR,79.74,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
681,Taos,US,75.6,clear sky,36.4072,-105.5731,El Monte Sagrado
689,Nouadhibou,MR,66.18,sand,20.931,-17.0347,El Medina
691,Negara,ID,77.88,scattered clouds,-8.3151,114.6025,Villa Maya West Bali
692,Camocim,BR,82.45,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
695,Muli,MV,84.45,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
696,Illapel,CL,70.84,broken clouds,-31.6308,-71.1653,Hotel Londres
697,Sechura,PE,79.68,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
